Timestamp,UserID,Sentence,MeaningfulnessRating,SourceRating
9/17/2025 11:02:03,user_1758124827256_y9ln3p3wi,Prime composite numbers smile chemically.,2,1
9/17/2025 11:02:15,user_1758124827256_y9ln3p3wi,Silent noises shout mutely.,5,0
9/17/2025 11:02:38,user_1758124827256_y9ln3p3wi,The museum pretends that teacups are monarchs.,1,1
9/17/2025 11:02:41,user_1758051763255_jmqqrptso,Tangible abstract ideas itch hydraulically.,2,1
9/17/2025 11:02:47,user_1758124832579_f9b9deb5v,Infinite largest integers dance politely.,2,0
9/17/2025 11:02:50,user_1758051763255_jmqqrptso,Silent noises shout mutely.,1,0
9/17/2025 11:02:51,user_1758051763255_jmqqrptso,Brightly veracious lion fly cunningly.,2,1
9/17/2025 11:02:53,user_1758051763255_jmqqrptso,Prime composite numbers smile chemically.,1,0
9/17/2025 11:02:57,user_1758051763255_jmqqrptso,Bottom of the space is up.,1,0
9/17/2025 11:02:58,user_1758124827256_y9ln3p3wi,Only the wallpaper suspects cheerful algebra.,3,1
9/17/2025 11:03:02,user_1758124833022_cwzsxsjt4,Odorless fragrant smells disappear loudly.,3,0
9/17/2025 11:03:04,user_1758051763255_jmqqrptso,Finite endless lines stop perpetually.,1,0
9/17/2025 11:03:07,user_1758124827256_y9ln3p3wi,Bottom of the space is up.,5,0
9/17/2025 11:03:08,user_1758124832579_f9b9deb5v,Neither oxygen nor boredom files the horizon.,1,1
9/17/2025 11:03:08,user_1758051763255_jmqqrptso,The museum pretends that teacups are monarchs.,3,1
9/17/2025 11:03:09,user_1758124837240_t56m9cpew,Burpy trees monkey in mountain poodle.,1,1
9/17/2025 11:03:11,user_1758124833022_cwzsxsjt4,Infinite largest integers dance politely.,2,1
9/17/2025 11:03:15,user_1758051763255_jmqqrptso,Burpy trees monkey in mountain poodle.,2,0
9/17/2025 11:03:15,user_1758124832579_f9b9deb5v,Prime composite numbers smile chemically.,2,1
9/17/2025 11:03:18,user_1758124827256_y9ln3p3wi,Finite endless lines stop perpetually.,5,0
9/17/2025 11:03:19,user_1758124822608_fyryc4t3i,"As calculators blush, lint negotiates silence.",3,1
9/17/2025 11:03:19,user_1758124837240_t56m9cpew,Brightly veracious lion fly cunningly.,1,1
9/17/2025 11:03:19,user_1758124827256_y9ln3p3wi,A rumor balanced the telescope backwards.,5,0
9/17/2025 11:03:21,user_1758124826911_9va5zzx9b,More rugs have been debunked than in blue green dreams.,2,1
9/17/2025 11:03:23,user_1758124833022_cwzsxsjt4,This elegy instructs the elevator sideways.,3,1
9/17/2025 11:03:24,user_1758124826911_9va5zzx9b,"After midnight, triangles borrow weather from whispers.",4,0
9/17/2025 11:03:25,user_1758124827256_y9ln3p3wi,This elegy instructs the elevator sideways.,3,1
9/17/2025 11:03:26,user_1758124832579_f9b9deb5v,Only the wallpaper suspects cheerful algebra.,1,1
9/17/2025 11:03:27,user_1758051763255_jmqqrptso,"If butter forgets, planets applaud politely.",3,0
9/17/2025 11:03:27,user_1758124826911_9va5zzx9b,Even odd numbers bleed dryly.,4,0
9/17/2025 11:03:29,user_1758051763255_jmqqrptso,Living dead statues breathe digitally.,3,1
9/17/2025 11:03:30,user_1758124833022_cwzsxsjt4,Nonexistent tall freedoms lift monstrously.,1,0
9/17/2025 11:03:31,user_1758124832579_f9b9deb5v,Silent noises shout mutely.,4,1
9/17/2025 11:03:33,user_1758124827256_y9ln3p3wi,"If butter forgets, planets applaud politely.",3,0
9/17/2025 11:03:34,user_1758124826911_9va5zzx9b,Prime composite numbers smile chemically.,5,0
9/17/2025 11:03:35,user_1758124837240_t56m9cpew,Wooden metallic clouds digest clockwise.,5,0
9/17/2025 11:03:37,user_1758124837240_t56m9cpew,The old man the boat.,5,0
9/17/2025 11:03:39,user_1758124833022_cwzsxsjt4,Flat curved planes wrinkle vertically.,3,0
9/17/2025 11:03:39,user_1758124843495_srcbljz55,Flat curved planes wrinkle vertically.,3,0
9/17/2025 11:03:41,user_1758051763255_jmqqrptso,Transparent opaque thoughts collide fragrantly.,2,0
9/17/2025 11:03:44,user_1758124832579_f9b9deb5v,"As calculators blush, lint negotiates silence.",1,1
9/17/2025 11:03:45,user_1758124826911_9va5zzx9b,"As calculators blush, lint negotiates silence.",2,1
9/17/2025 11:03:46,user_1758124826911_9va5zzx9b,The comet politely steals my staircase.,5,0
9/17/2025 11:03:50,user_1758124827256_y9ln3p3wi,Wooden metallic clouds digest clockwise.,3,0
9/17/2025 11:03:50,user_1758124822608_fyryc4t3i,Bottom of the space is up.,4,0
